id,name,category,category_slug,subcategory,subcategory_slug,image,thumbnail,width,height,sha256
001,三分法构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/001-三分法构图.png,v2/thumbnails/01-composition-logic/001-三分法构图.jpg,1086,1448,4edf0f2af2f3fcfc757f2e0f742818951806d93d59696bfdf4cb5cc41e008ffb
002,黄金比例构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/002-黄金比例构图.png,v2/thumbnails/01-composition-logic/002-黄金比例构图.jpg,1086,1448,5dcf448eb79e80aaaa30467f35bdc6ea07a0b63e67ef13beac013d3ae6ca76ff
003,黄金螺旋构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/003-黄金螺旋构图.png,v2/thumbnails/01-composition-logic/003-黄金螺旋构图.jpg,1086,1448,f7c1d51fe8b457850fbbb9549097d3dfd70f442e280271c5a233a27c5242ea20
004,黄金三角构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/004-黄金三角构图.png,v2/thumbnails/01-composition-logic/004-黄金三角构图.jpg,1086,1448,a24516bfc59dadaf6130574b774b237562042b957066d99f7f04797ca226efb1
005,对角线法构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/005-对角线法构图.png,v2/thumbnails/01-composition-logic/005-对角线法构图.jpg,1086,1448,ddc2fda1b139e87cbfc8836d780230d613b47725b01ec777c1d5d3b45d4a5356
006,矩形折入法构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/006-矩形折入法构图.png,v2/thumbnails/01-composition-logic/006-矩形折入法构图.jpg,1086,1448,c46f60abd1f603ef654635ff517d9230b7bdb0d09eb26b57ef1069f42284905f
007,奇数法则构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/007-奇数法则构图.png,v2/thumbnails/01-composition-logic/007-奇数法则构图.jpg,1086,1448,c0364e4a1d2468a81b170a80f4918d3d50cab03a5d1a9e9dac2da773470e0a8a
008,空间法则构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/008-空间法则构图.png,v2/thumbnails/01-composition-logic/008-空间法则构图.jpg,1086,1448,1115bb83d771d9694a0b0b3995f776ef66a742d82229f372066eaa992450f4a9
009,视线空间构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/009-视线空间构图.png,v2/thumbnails/01-composition-logic/009-视线空间构图.jpg,1086,1448,3d0c227214501892a69cdb449daa77981a046f1e6165232565e4f3b3d63b043a
010,运动空间构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/010-运动空间构图.png,v2/thumbnails/01-composition-logic/010-运动空间构图.jpg,1086,1448,1bfe27387c93c192da037fd95b61413de25750d73e7c8eac598968c030d9dd40
